CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,KeyPractice.rt,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.415,173.2982271,None,174.7164964,None,space,1,174.7164964,None,175.05678,None,0.3299056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P007,fencog,1,Post,2021_Aug_11_0946,N-Back (New Version 2021),2021.1.4,119.94003
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,176.5637993,None,178.059443,None,space,1,178.059443,None,178.4925769,None,0.4194073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P007,fencog,1,Post,2021_Aug_11_0946,N-Back (New Version 2021),2021.1.4,119.94003
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.765,179.9960084,None,181.7631727,None,None,1,181.7631727,None,183.7700722,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P007,fencog,1,Post,2021_Aug_11_0946,N-Back (New Version 2021),2021.1.4,119.94003
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,185.2697788,None,186.9113272,None,None,1,186.9113272,None,188.9185741,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P007,fencog,1,Post,2021_Aug_11_0946,N-Back (New Version 2021),2021.1.4,119.94003
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P007,fencog,1,Post,2021_Aug_11_0946,N-Back (New Version 2021),2021.1.4,119.94003
Conditions/Version_1Pr/oneback(1)_v1.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),a,None,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.4398524,None,193.4277387,None,space,0.0668022,193.4277387,None,190.4398524,None,1.215,193.5223297,None,194.743825,None,None,1,194.743825,None,196.7502404,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P007,fencog,1,Post,2021_Aug_11_0946,N-Back (New Version 2021),2021.1.4,119.94003
Conditions/Version_1Pr/oneback(1)_v1.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),x,None,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,198.24913,None,199.6421892,None,None,1,199.6421892,None,201.6453233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P007,fencog,1,Post,2021_Aug_11_0946,N-Back (New Version 2021),2021.1.4,119.94003
Conditions/Version_1Pr/oneback(1)_v1.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),g,None,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.165,203.1477383,None,204.3170336,None,None,1,204.3170336,None,206.3217806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P007,fencog,1,Post,2021_Aug_11_0946,N-Back (New Version 2021),2021.1.4,119.94003
Conditions/Version_1Pr/oneback(1)_v1.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),G,space,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.015,207.8214091,None,209.8408291,None,space,1,209.8408291,None,210.1924333,None,0.3417508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P007,fencog,1,Post,2021_Aug_11_0946,N-Back (New Version 2021),2021.1.4,119.94003
Conditions/Version_1Pr/oneback(1)_v1.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),u,None,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,211.6955686,None,213.5365113,None,None,1,213.5365113,None,215.5357184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P007,fencog,1,Post,2021_Aug_11_0946,N-Back (New Version 2021),2021.1.4,119.94003
Conditions/Version_1Pr/oneback(1)_v1.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),y,None,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,217.0351522,None,219.0280469,None,None,1,219.0280469,None,221.0341565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P007,fencog,1,Post,2021_Aug_11_0946,N-Back (New Version 2021),2021.1.4,119.94003
